model_name,battery_power,battery_capacity,wind_turbines,wind_capacity,solar_panels,solar_capacity,total_demand_capacity,excess_capacity,shortcoming_capacity,demand_met_by_renewables_capacity
P10_C100_T10_S4000,10,100,10,23.0,4000,16.0,44.82345,46.75830509097885,1.5522226312472025,96.53702998933102
P10_C100_T10_S6000,10,100,10,23.0,6000,24.0,44.82345,56.90823520756988,0.987615225935296,97.79665504119987
P10_C100_T10_S8000,10,100,10,23.0,8000,32.0,44.82345,67.3944630420335,0.7435051502144402,98.34125853718434
P10_C100_T12_S0,10,100,12,27.599999999999998,0,0.0,44.82345,42.3134532891349,4.767035874953724,89.3648617521549
P10_C100_T12_S1000,10,100,12,27.599999999999998,1000,4.0,44.82345,46.38994029473781,3.429731771637294,92.3483538825385
P10_C100_T12_S2000,10,100,12,27.599999999999998,2000,8.0,44.82345,50.82018001719271,2.4530489454604814,94.52730892990058
P10_C100_T12_S4000,10,100,12,27.599999999999998,4000,16.0,44.82345,60.41971970118575,1.3172339800936916,97.0612838144014
P10_C100_T12_S6000,10,100,12,27.599999999999998,6000,24.0,44.82345,70.64087030262817,0.8194111920345433,98.17191404937697
P10_C100_T12_S8000,10,100,12,27.599999999999998,8000,32.0,44.82345,81.1497344151414,0.5967081142736228,98.66875906635116
P10_C100_T15_S0,10,100,15,34.5,0,0.0,44.82345,62.12139843092202,3.7843592931936207,91.55718871886563
P10_C100_T15_S1000,10,100,15,34.5,1000,4.0,44.82345,66.49831539984349,2.7381256559023033,93.89130989269611
P10_C100_T15_S2000,10,100,15,34.5,2000,8.0,44.82345,71.13081403563781,1.9560337654320266,95.63613741148433
